,제안일,의안명,발의자,진행 상황
0,2019-06-14,발달장애인 권리보장 및 지원에 관한 법률 일부개정법률안(맹성규의원 등 11인) ,맹성규,계류
1,2019-06-14,학교급식법 일부개정법률안(위성곤의원 등 10인) ,위성곤,계류
2,2019-06-14,변호사법 일부개정법률안(김종민의원 등 10인) ,김종민,계류
3,2019-06-14,검사징계법 일부개정법률안(김종민의원 등 10인) ,김종민,계류
4,2019-06-14,채용절차의 공정화에 관한 법률 일부개정법률안(황주홍의원 등 10인) ,황주홍,계류
5,2019-06-14,국민건강보험법 일부개정법률안(김관영의원 등 10인) ,김관영,계류
6,2019-06-14,과학기술기본법 일부개정법률안(이춘석의원 등 12인) ,이춘석,계류
7,2019-06-14,국가재정법 일부개정법률안(이종배의원 등 11인) ,이종배,계류
8,2019-06-14,국민연금법 일부개정법률안(김관영의원 등 10인) ,김관영,계류
9,2019-06-14,도로교통법 일부개정법률안(김영진의원 등 11인) ,김영진,계류
10,2019-06-14,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 일부개정법률안(김관영의원 등 10인) ,김관영,계류
11,2019-06-14,고용보험법 일부개정법률안(김관영의원 등 10인) ,김관영,계류
12,2019-06-14,전자조달의 이용 및 촉진에 관한 법률 일부개정법률안 ,정부,계류
13,2019-06-14,군형법 일부개정법률안(박인숙의원 등 10인) ,박인숙,계류
14,2019-06-14,전기사업법 일부개정법률안(김영춘의원 등 21인) ,김영춘,계류
